sentence;category
Paid for coding platform subscription;subscription
Bought new towels;housing
Bought shelves for storage;housing
Paid for online health consultation;health
Had lunch at a new restaurant;food
Bought cereal for breakfast;food
Paid for music lessons app;subscription
Paid for karaoke night;leisure
Bought over-the-counter medicine;health
Paid for cloud storage;subscription
Went on a boat ride;leisure
Picked up fried chicken;food
Bought wall frames;housing
Had brunch with friends;food
Went bowling with friends;leisure
Bought ski pass;leisure
Picked up desserts for home;food
Bought cruise ship ticket;transport
Paid for movie streaming service;subscription
Ordered burgers online;food
Bought hobby supplies;leisure
Took a taxi downtown;transport
Paid for yoga class;health
Rented an electric scooter;transport
Bought a ferry ticket;transport
Paid for Spotify Premium;subscription
Paid for subway fare;transport
Bought a return ticket;transport
Paid for vaccination;health
Paid for an e-book service;subscription
Paid for a concert live stream;leisure
Bought a picnic kit;leisure
Paid for LinkedIn Premium;subscription
Paid for blood test;health
Bought fitness supplements;health
Paid for indoor climbing;leisure
Paid for a dating app;subscription
Paid for a workout app;subscription
Paid for physiotherapy session;health
Bought tickets to a sports game;leisure
Paid for online newspaper;subscription
Paid for an Uber ride;transport
Bought frozen pizza;food
Bought a new mattress;housing
Bought a sandwich combo;food
Bought a thermometer;health
Paid for Hulu subscription;subscription
Paid for fishing trip;leisure
Bought cleaning gloves;housing
Paid for art workshop;leisure
Paid for chiropractor session;health
Bought weekend travel card;transport
Paid for recipe app subscription;subscription
Paid for chauffeur service;transport
Bought a baguette at a bakery;food
Bought a metro pass;transport
Paid for a therapy session;health
Paid for house painting;housing
Paid for a VPN service;subscription
Bought sunscreen;health
Purchased organic produce;food
Paid for hospital visit;health
Paid for a virtual escape game;leisure
Paid for a massage session;health
Bought camping gear;leisure
Picked up donuts for the office;food
Paid for annual health checkup;health
Paid the electricity bill;housing
Paid for AI writing assistant;subscription
Bought an intercity bus ticket;transport
Bought a new chair;housing
Paid for photo storage app;subscription
Paid for a content creation tool;subscription
Bought pain relief cream;health
Took a Lyft ride;transport
Paid for digital magazine;subscription
Bought tram ticket;transport
Paid for balcony cleaning;housing
Paid for an airport shuttle;transport
Picked up a salad for lunch;food
Ordered pizza delivery;food
Paid for learning platform subscription;subscription
Bought nasal spray;health
Went to a haunted house;leisure
Paid for audiobook subscription;subscription
Paid for nutrition consultation;health
Bought a puzzle set;leisure
Paid for recipe platform;subscription
Picked up sushi for dinner;food
Ordered Chinese takeout;food
Paid for meditation service;subscription
Paid for an audiobook service;subscription
Paid for HBO Max subscription;subscription
Bought allergy medicine;health
Bought a bus ticket;transport
Had dinner at an Italian restaurant;food
Bought fast train ticket;transport
Bought painting tools;leisure
Went to a comedy show;leisure
Paid for fitness trainer;health
Went to a water park;leisure
Paid for a bike rental;transport
Paid for theme park entry;leisure
Bought a new closet;housing
Paid for transport app fee;transport
Bought a shoe rack;housing
Bought lunch at McDonald's;food
Paid for fitness tracking app;subscription
Went to an amusement park;leisure
Paid for kids' learning app;subscription
Bought curtains;housing
Paid for health insurance premium;health
Paid for Disney+ subscription;subscription
Bought bowling shoes rental;leisure
Bought a paint and sip class;leisure
Paid for car rental service;transport
Had a coffee date;food
Bought an airport express ticket;transport
Paid for Apple Music;subscription
Paid for dietitian session;health
Paid for pest control;housing
Paid for graphic design tool;subscription
Paid for taxi to the hotel;transport
Paid for a language learning app;subscription
Bought toll pass;transport
Purchased vegetables at the farmer's market;food
Bought a cake for dessert;food
Paid for car wash subscription;transport
Paid the gas bill;housing
Picked up pastries for breakfast;food
Paid for a dental cleaning;health
Bought fuel for the trip;transport
Bought bathroom supplies;housing
Bought new bedsheets;housing
Bought a sofa;housing
Went hiking and paid for entry;leisure
Went to a pottery class;leisure
Bought a carpet;housing
Bought groceries at Walmart;food
Paid the internet bill;housing
Paid for car wash at a station;transport
Bought a mop and broom;housing
Bought a new pillow;housing
Bought protein supplements;health
Bought a sandwich at Subway;food
Paid for home repair;housing
Bought musical instruments;leisure
Paid for Amazon Prime;subscription
Bought electric car charge;transport
Paid for online gaming credits;leisure
Bought vitamins at the pharmacy;health
Paid for a productivity app;subscription
Paid for mini golf game;leisure
Grabbed iced coffee;food
